"질의","응답","카테고리"
"DB서버 vm.swappiness 몇으로 맞춰야돼?","```
cat /proc/sys/vm/swappiness
sysctl -w vm.swappiness=1
```
- 기본값 60은 캐시 우선 회수라 DB 버퍼가 swap out될 위험 있음
- Oracle/PostgreSQL 서버는 보통 1(RHEL7+) 권장
- 포인트: 0으로 두면 OOM 상황에서 스왑을 전혀 안 써서 프로세스가 바로 kill될 위험 커짐, 1이 더 안전","OS+DBA"
"윈도우 서버에서 오라클 접속 안 되는데 방화벽인지 어떻게 확인해?","```
netstat -ano | findstr 1521
Test-NetConnection -ComputerName localhost -Port 1521
New-NetFirewallRule -DisplayName ""Oracle1521"" -Direction Inbound -LocalPort 1521 -Protocol TCP -Action Allow
```
- 리스너가 LISTENING 상태인데 외부접속 안 되면 방화벽 인바운드 규칙 문제
- lsnrctl status로 리스너 자체 상태도 같이 확인
- 포인트: 방화벽 프로필(도메인/개인/공용) 중 하나만 열어놓고 나머지 놓치는 경우 많음","OS+DBA"
"DB서버 응답 느리다는 얘기 들어왔어. OS 문제인지 DB문제인지 어떻게 나눠서 봐?","1) 스토리지 레벨 먼저
```
iostat -xz 5
```
await/svctm 높으면 OS/스토리지 레벨 의심
2) 디스크 자체 문제 아니면 DB 대기이벤트 확인
```sql
SELECT event, count(*) FROM v$session WHERE wait_class != 'Idle' GROUP BY event;
```
'db file sequential/scattered read' 대기가 크면 쿼리/인덱스 문제
3) AWR/statspack Top event로 특정 세션 SQL 추적
- 포인트: %util 100%인데 await 낮으면 큐잉이 아니라 처리량 자체가 몰린 것, await 꼭 같이 봐야 함","OS+DBA"
"오라클 새 인스턴스 startup 하는데 세마포어 관련 에러나. 뭐부터 봐?","1) 현재 사용량 확인
```
ipcs -s | wc -l
sysctl kernel.sem
```
2) semmni(세트 최대개수) 초과 여부, 죽은 프로세스가 세마포어 안 놓고 있을 수도 있음
```
ipcs -s
ipcrm -s <semid>
```
3) 부족하면 kernel.sem 값 상향 후 sysctl -p
- 포인트: 인스턴스 여러 개 올려둔 서버는 SID 개수 x 프로세스당 세마포어 세트 수로 계산해야 함, 기본값은 인스턴스 1개 기준","OS+DBA"
"DBA가 성능 느리다고 SGA/PGA 더 늘려달래는데 지금도 swap 나고 있어. 바로 늘려줘도 돼?","안 됨, 확인 순서:
1)
```
vmstat 1 5
free -h
```
si/so 값 계속 나오면 이미 메모리 부족 상태
2) 현재 SGA+PGA+OS+기타프로세스 합이 실메모리 초과하는지 계산
```sql
show parameter sga_target
show parameter pga_aggregate_target
```
3) 이 상태에서 더 늘리면 swap 심화로 오히려 성능 더 나빠짐, 물리메모리 증설이나 불필요 프로세스 정리 먼저
- 포인트: swap 나는 상태에서 SGA 늘리면 버퍼캐시 히트율은 올라가도 전체 응답속도는 악화되는 역설이 자주 발생","OS+DBA"
"아카이브로그 디렉토리 풀 나서 DB가 멈췄어. 순서대로 뭐해야돼?","1)
```
df -h /arch
```
용량 100% 확인
2) 백업 완료된 archive log만 삭제
```
rman target /
CROSSCHECK ARCHIVELOG ALL;
DELETE ARCHIVELOG ALL BACKED UP 1 TIMES TO DEVICE TYPE DISK;
```
3) 공간 확보 후 DB 자동 resume 확인, 안되면 alert log에서 hang 여부 체크
4) 재발 방지로 여유 있으면 파일시스템 확장
```
chfs -a size=+20G /arch
```
- 포인트: rm으로 무작정 지우면 RMAN 카탈로그와 안 맞아서 나중에 복구 시 갭 생김, 반드시 crosscheck/delete로 지워야 함","OS+DBA"
"오라클 프로세스에서 ""too many open files"" 뜨는데 뭐 확인해?","1)
```sql
show parameter open
show parameter processes
```
processes 값 대비 필요 fd 수 계산
2) 현재 적용된 실제 limit 확인
```
cat /proc/<pmon_pid>/limits | grep ""open files""
```
3) /etc/security/limits.conf의 oracle nofile 값 상향 후 오라클 재기동해야 반영
- 포인트: 세션에서 ulimit -n 늘려도 이미 떠있는 프로세스에는 적용 안 됨, 재기동이 필수","OS+DBA"
"vmstat 돌리니까 wa가 계속 30% 넘어. DB쪽에서 뭐 봐야돼?","1)
```
vmstat 1 10
```
wa 지속적으로 높으면 I/O 대기 프로세스 많다는 뜻
2) 어떤 프로세스가 I/O 유발하는지
```
iotop -o
```
3) DB 세션 중 풀스캔/정렬로 temp I/O 유발하는 쿼리 확인
```sql
SELECT sql_id, sql_text FROM v$sql WHERE disk_reads > 100000 ORDER BY disk_reads DESC;
```
- 포인트: wa 높다고 무조건 스토리지 문제 아님, 배치 쿼리 하나가 풀스캔 중일 수도 있음, 시간대 겹치는지부터 확인","OS+DBA"
"윈도우 서버 MySQL 서비스가 기동하다 멈춰. 이벤트로그에 메모리 관련 에러 있는데?","1) 커밋 메모리 vs 페이지파일 크기 확인
```
wmic pagefile list /format:list
```
2) my.ini의 innodb_buffer_pool_size가 물리메모리+페이지파일 여유보다 크게 잡혀있는지 확인
3) 페이지파일 부족하면 크기 늘리거나 buffer_pool_size 하향
- 포인트: 윈도우는 커밋 실패시 별도 OOM killer 없이 프로세스 기동 자체가 조용히 실패하는 형태로 나타남","OS+DBA"
"expdp 돌리다가 덤프파일이 일정 크기에서 뚝 끊겨. 뭐가 문제야?","1)
```
ulimit -f
```
oracle 계정 file size 제한 확인(단위: 512byte 블록)
2) AIX는 /etc/security/limits 파일에서 fsize 상향(리눅스 limits.conf와 경로/문법 다름)
```
oracle:
    fsize = -1
```
3) 우회는 %U로 파일 분할
```
expdp ... dumpfile=exp_%U.dmp filesize=2G
```
- 포인트: AIX에서 리눅스식 /etc/security/limits.conf 찾다가 헛수고하는 경우 많음","OS+DBA"
"df는 여유 있는데 binlog 파일을 못 만든다고 에러나. 원인이 뭐야?","1)
```
df -i /var/lib/mysql
```
inode 사용률 100%인지 확인(df -h는 용량만 봄, 별개 지표)
2) 원인은 대부분 작은 파일 대량 생성(임시테이블, 오래된 binlog 미정리)
```
find /var/lib/mysql -type f | wc -l
PURGE BINARY LOGS BEFORE '2026-08-01 00:00:00';
```
3) inode는 mkfs 시점에 결정되므로 부족하면 파일시스템 재생성이나 볼륨 분리 필요
- 포인트: 용량 여유 있다고 안심하면 안 됨, df -h랑 df -i 둘 다 습관적으로 같이 확인","OS+DBA"
"RAC 2노드 중 한대만 CRS 기동이 안돼. 뭐부터 봐?","1)
```
date
ntpq -p
```
양 노드 시간차 확인, RAC는 노드간 시간차 크면 클러스터웨어가 노드를 evict 처리함
2) 시간차 있으면 강제 step 말고 slew 모드로 맞춤
```
service ntpd stop
ntpdate -u <ntp서버>
service ntpd start
```
3) 시간 문제 아니면 ocssd.log, crsctl check crs로 클러스터웨어 상태 확인
- 포인트: 운영중 노드에 ntpdate로 시간을 갑자기 확 바꾸면 그 자체로 노드 fencing 유발할 수 있음, slew 조정이 더 안전","OS+DBA"
"서버 load average가 갑자기 튀었어. OS 프로세스 문제인지 티베로 세션 문제인지 어떻게 나눠?","1)
```
top -c
ps -eLf | awk '{print $2}' | sort | uniq -c | sort -rn | head
```
CPU 많이 쓰는 PID가 tbsvr(티베로 프로세스)인지 확인
2) 티베로 프로세스면 세션 레벨로 좁히기
```sql
SELECT sid, username, sql_text FROM v$session s, v$sql t WHERE s.sql_id=t.sql_id ORDER BY cpu_time DESC;
```
3) 티베로 프로세스 아니면 백업 스크립트, 안티바이러스 스캔 등 OS 레벨 별도 확인
- 포인트: load average는 CPU뿐 아니라 D상태(디스크 대기) 프로세스도 포함되니 vmstat의 b 컬럼도 같이 봐야 오판 안 함","OS+DBA"
"AIX 페이징스페이스 부족 경고 뜨는데 오라클 PGA 설정이랑 관련있대. 뭘 봐?","1)
```
lsps -a
```
페이징스페이스 사용률 확인
2)
```sql
show parameter pga_aggregate_target
select * from v$pgastat where name='total PGA allocated';
```
정렬/해시 작업 많은 세션이 PGA를 과하게 잡고 있을 수 있음
3) PGA_AGGREGATE_TARGET을 물리메모리 대비 너무 크게 잡으면 실제 프로세스별 PGA가 넘쳐 페이징스페이스로 밀림
- 포인트: PGA는 SGA처럼 고정 공유메모리가 아니라 세션별 동적할당이라 동시접속/정렬 세션 몰리면 순간적으로 스파이크 나서 페이징 압박이 뒤늦게 나타남","OS+DBA"
"서버 재부팅했더니 MySQL이 자동으로 안 올라와있어. 로그엔 데이터 디렉토리 못찾는다는데?","1)
```
systemctl status mysqld
journalctl -u mysqld -b
```
데이터 디렉토리(/data/mysql)가 별도 볼륨인지 확인
2) 마운트가 systemd 부팅 시퀀스상 mysqld보다 늦게 걸리면 데이터 디렉토리 빈 상태로 기동 시도해서 실패
```
systemctl list-dependencies mysqld
```
3) fstab에만 등록돼있어도 순서 보장 안될 수 있어 유닛파일에 의존성 추가
```
# /etc/systemd/system/mysqld.service.d/override.conf
[Unit]
RequiresMountsFor=/data/mysql
```
- 포인트: fstab에만 등록하고 systemd 의존성 명시 안 하면 부팅마다 랜덤하게 되고 안되고 반복되는, 재현 안 되는 버그처럼 보임","OS+DBA"
"오라클 서버 CPU가 100%인데 DB 세션들은 별로 안 바빠 보여. OS 프로세스 쪽도 봐야 돼?","확인 순서:
1. top/ps로 오라클 프로세스 외에 다른 프로세스(백업 에이전트, 모니터링 등)가 CPU를 먹는지 확인
2. 오라클 세션 중 백그라운드 프로세스(SMON, PMON 등)가 비정상 동작 중인지 확인
- 포인트: 세션 뷰만 보면 애플리케이션 세션만 보이고 백그라운드/외부 프로세스는 안 잡힘","OS+DBA"
"MySQL 데이터 디렉토리가 있는 파일시스템이 갑자기 read-only로 바뀌면서 쿼리가 다 실패해. 원인 확인 순서는?","확인 순서:
1. dmesg에서 파일시스템 오류로 커널이 강제 리마운트했는지 확인
2. 디스크 하드웨어 상태(SMART) 확인
- 포인트: MySQL을 재시작해도 파일시스템이 read-only인 한 근본 해결 안 됨, OS/스토리지 레벨부터 조치","OS+DBA"
"PostgreSQL 서버에서 huge pages를 설정했는데 기동 시 shared_buffers 할당이 실패해. 확인 순서는?","확인 순서:
1. /proc/meminfo에서 실제 확보된 HugePages 수와 필요한 크기 비교
2. huge pages는 부팅 초기에 예약해야 안정적으로 확보되므로, 이미 메모리가 파편화된 상태에서 설정한 건 아닌지 확인
- 포인트: 운영 중인 서버에서 뒤늦게 huge pages를 늘리면 파편화 때문에 확보가 실패하기 쉬움","OS+DBA"
"티베로 DB서버에서 세마포어 부족 에러가 나서 인스턴스 기동이 안 돼. 어떻게 조치해?","```bash
ipcs -s | wc -l
```
- 커널 파라미터 kernel.sem 값을 티베로 요구사항에 맞게 늘리고 재적용
- 다른 프로세스가 세마포어를 점유하고 안 놓은 좀비 상태는 아닌지도 함께 확인
- 포인트: 세마포어 부족은 설정값 문제뿐 아니라 이전 비정상 종료로 인한 잔존 자원 문제일 수도 있음","OS+DBA"
"DB 서버 디스크를 SSD로 교체했는데 오히려 랜덤 I/O 성능이 예상보다 안 좋아. 확인 순서는?","확인 순서:
1. I/O 스케줄러가 SSD에 안 맞는 방식(cfq/deadline 등 회전디스크 최적화)으로 남아있는지 확인, none/noop으로 변경 검토
2. 파일시스템 마운트 옵션에 discard/trim 관련 설정 확인
- 포인트: 하드웨어만 바꾼다고 자동으로 최적화되지 않고, OS 레벨 설정도 SSD에 맞게 조정해야 함","OS+DBA"
"오라클 서버가 뜬 리눅스에서 numactl 관련 얘기가 나왔는데 DB 성능이랑 무슨 상관이야?","- NUMA 아키텍처에서 메모리 접근이 로컬 노드가 아니면 지연이 늘어나는데, SGA가 여러 NUMA 노드에 걸쳐 할당되면 성능 저하 가능
- numactl --hardware로 노드 구성 확인 후 오라클 프로세스를 특정 노드에 바인딩하는 걸 검토
- 포인트: 대형 SGA를 쓰는 서버일수록 NUMA 인식 설정이 성능에 영향을 줌","OS+DBA"
"서버 시간(NTP)이 살짝 어긋난 상태에서 DB 이중화(복제)에 영향이 있을 수 있어?","- 시간 동기화가 안 맞으면 타임스탬프 기반 충돌 해결(리플리케이션 conflict resolution)이나 인증서 유효성 검증에서 문제가 생길 수 있음
- 특히 SSL 인증서 검증, Kerberos 인증 등은 시간 오차 허용범위가 좁아 바로 실패할 수 있음
- 포인트: NTP 동기화는 DB 이중화 구성의 기본 전제조건 중 하나","OS+DBA"
"DB 서버 메모리를 늘렸는데 오라클이 늘어난 메모리를 안 쓰고 그대로야. 확인 순서는?","확인 순서:
1. SGA_MAX_SIZE, MEMORY_MAX_TARGET 등 오라클 자체 상한 설정값 확인
2. OS 레벨에서 늘어난 메모리가 실제로 인식됐는지(free -h) 확인
- 포인트: OS는 메모리를 인식해도 DB 파라미터 상한이 낮으면 그 이상은 못 씀","OS+DBA"
"MySQL이 뜬 서버에서 OOM killer가 MySQL 프로세스를 죽였어. 재발 방지하려면 뭘 해야 돼?","- dmesg로 OOM killer 로그 확인해서 실제 메모리 사용 1순위였는지 확인
- innodb_buffer_pool_size 등 MySQL 메모리 설정 합이 물리 메모리 대비 과도했는지 재검토
- OOM score adjustment로 중요 프로세스의 우선순위를 낮춰 죽는 순서를 뒤로 미루는 것도 보완책
- 포인트: 메모리 설정 재검토가 근본 대책, OOM score 조정은 보완책일 뿐","OS+DBA"
"PostgreSQL WAL 파일이 쌓이는 디스크가 별도 파티션인데 갑자기 가득 찼어. 순서대로 뭘 해야 돼?","확인 순서:
1. archive_command가 정상 동작 중인지(백업 서버 연결 등) 확인, 실패하면 WAL이 안 지워지고 쌓임
2. 급하면 임시로 다른 볼륨에 WAL 아카이브 경로 확장
3. 근본 원인(백업 연결 실패 등) 해결 후 재발 방지
- 포인트: WAL 파티션이 꽉 차면 DB 자체가 멈출 수 있어 최우선으로 공간부터 확보해야 함","OS+DBA"
