"질의","응답","카테고리"
"K8s HPA로 DB Pod도 오토스케일링 시킬 수 있어?","- StatefulSet은 HPA로 replica 늘려도 각 인스턴스가 독립 데이터라 자동 샤딩/로드밸런싱 안 됨
- read replica 구조면 개수는 늘릴 수 있어도 앱이 read/write 분리 라우팅을 직접 해줘야 함
- DB 스케일링은 HPA 대상이 아니라 수직 확장이나 샤딩 전략으로 접근하는 게 정석","DBA+DEVOPS"
"DB Pod가 livenessProbe 때문에 계속 재시작되는데 뭘 봐야해?","확인 순서
1. kubectl describe pod로 probe 실패 사유(timeout/connection refused) 확인
2. initialDelaySeconds가 DB 기동시간(리커버리 포함)보다 짧은지 확인
3. probe가 TCP인지 실제 쿼리(pg_isready, mysqladmin ping)인지 확인
4. 비정상 종료 후 재기동이라 checkpoint/recovery 오래 걸리는 상황인지 로그 확인
- 놓치기 쉬운 포인트: readiness와 liveness probe 값을 다르게 잡아야 함, 둘 다 짧게 잡으면 recovery 중 강제 재시작 걸림","DBA+DEVOPS"
"Helm에서 DB 비밀번호를 values.yaml에 평문으로 안 넣고 관리하려면?","- 외부 Secret을 먼저 만들고 existingSecret 옵션으로 참조
```
auth:
  existingSecret: postgres-credentials
  secretKeys:
    adminPasswordKey: password
```
- 실제 값은 Sealed Secrets나 External Secrets Operator로 볼트/파라미터스토어 연동해서 관리","DBA+DEVOPS"
"DB StatefulSet Pod가 Pending 상태에서 안 뜨는데 PV 마운트 문제인지 어떻게 확인해?","확인 순서
1. kubectl describe pod에서 FailedScheduling/FailedMount 이벤트 확인
2. PVC 상태가 Bound인지 Pending인지 확인
3. StorageClass volumeBindingMode가 WaitForFirstConsumer면 노드 스케줄링과 연계되는지 확인
4. 멀티 AZ 클러스터에서 해당 zone에 PV가 붙을 수 있는지 확인
- 놓치기 쉬운 포인트: 이전 Pod가 볼륨을 아직 detach 못했으면 multi-attach error로 새 Pod가 오래 대기함","DBA+DEVOPS"
"Jenkins로 매일 새벽 DB 백업 자동화하려면?","- cron 트리거로 pipeline 스케줄링
```
triggers { cron('0 3 * * *') }
```
- pg_dump/mysqldump 실행 후 결과를 오브젝트 스토리지(S3 등)로 업로드하는 stage 추가
- 백업파일 정합성 체크(gzip -t 등)와 성공/실패 알림 stage도 반드시 포함","DBA+DEVOPS"
"K8s 노드 장애로 DB StatefulSet Pod가 다른 노드로 재배치됐는데 데이터 정합성 어떻게 확인해?","확인 순서
1. PVC가 원래 볼륨 그대로 재부착됐는지 attach/detach 로그 확인
2. DB 기동 로그에서 crash recovery/redo 적용 여부 확인
3. replication 구성이면 다른 replica와 체크섬/row count 비교
4. 강제 종료였으면 WAL/redo log 손상 가능성 점검
- 놓치기 쉬운 포인트: 로컬 스토리지 기반 PV는 노드/zone에 고정돼 재배치 자체가 실패할 수 있음, PVC affinity부터 다시 확인","DBA+DEVOPS"
"Docker로 PostgreSQL 이미지 빌드할 때 초기화 스크립트 최적화하려면?","- docker-entrypoint-initdb.d에 넣은 sql/sh는 최초 기동시 1회만 실행됨
- 확장 설치 등은 빌드 타임에, 런타임 설정은 환경변수로 분리해서 레이어 캐싱 활용
- 대용량 초기 데이터는 이미지에 박지 말고 볼륨/백업 복원 방식으로 분리해야 이미지 사이즈·빌드 시간이 줄어듦","DBA+DEVOPS"
"Replication lag이 갑자기 커졌는데 K8s CPU throttling이 원인일 수 있어?","확인 순서
1. cAdvisor의 container_cpu_cfs_throttled_seconds_total 지표 확인
2. resources.limits.cpu 값과 실제 사용량 비교
3. SHOW SLAVE STATUS의 Seconds_Behind_Master 증가 시점과 throttle 시점 매핑
4. 노드 자체 과부하(다른 Pod와 CPU 경쟁)인지 확인
- limit을 너무 타이트하게 잡으면 CFS quota로 주기적 throttle 걸려 relay log apply가 밀림, requests=limits로 맞추거나 여유를 두는 게 나음","DBA+DEVOPS"
"GitLab CI로 인덱스 추가 마이그레이션을 무중단으로 배포하려면 어떻게 짜?","- 온라인 인덱스 생성(PG는 CREATE INDEX CONCURRENTLY, MySQL은 pt-online-schema-change) 사용
```
migrate:
  script:
    - psql -c ""CREATE INDEX CONCURRENTLY idx_x ON tbl(col);""
```
- lock 타임아웃을 짧게 걸어 실패시 즉시 중단되게 구성
- 마이그레이션 stage를 앱 배포 stage와 분리해서 성공 확인 후 롤아웃 진행","DBA+DEVOPS"
"OpenShift에서 Oracle DB 컨테이너가 SCC 때문에 기동을 못하는데 뭘 봐야해?","확인 순서
1. oc describe pod로 permission denied(/opt/oracle 등) 에러 확인
2. 기본 restricted SCC는 임의 UID로 실행되는데 이미지가 특정 UID/GID를 요구하는지 확인
3. SecurityContext의 fsGroup/runAsUser를 이미지 요구사항에 맞게 지정
4. 필요시 anyuid 계열 SCC를 서비스어카운트에 부여
- 놓치기 쉬운 포인트: anyuid 허용은 보안팀 협의가 필요한 정책 사항이라 임의로 풀면 안 됨","DBA+DEVOPS"
"Helm으로 배포한 DB를 이전 버전으로 rollback했는데 스키마 마이그레이션이 안 맞아서 앱이 깨지는데?","- helm rollback은 리소스 스펙만 이전 상태로 되돌리고 DB 데이터/스키마는 그대로 유지됨
- 마이그레이션 down/rollback 스크립트를 별도로 관리해서 앱 버전 rollback과 짝을 맞춰 실행해야 함
- 놓치기 쉬운 포인트: Flyway는 기본적으로 downgrade 미지원이라 별도 undo 스크립트나 스냅샷 복원 전략을 사전에 준비해둬야 함","DBA+DEVOPS"
"K8s에서 DB 아카이브 로그(WAL)를 별도 PVC로 분리해서 관리하려면?","- 데이터 디스크와 별도 PVC로 archive/WAL 디렉토리 마운트
```
volumeMounts:
  - name: data
    mountPath: /var/lib/postgresql/data
  - name: wal-archive
    mountPath: /var/lib/postgresql/wal_archive
```
- archive_command를 wal_archive 경로로 지정, 용량은 백업 주기 감안해 데이터보다 넉넉하게
- 아카이브 볼륨이 꽉 차면 WAL을 못 지워서 DB가 멈추는 경우 있음, kubelet_volume_stats_available_bytes로 용량 알림 필수","DBA+DEVOPS"
"K8s에서 운영 중인 PostgreSQL StatefulSet을 무중단으로 마이너 버전 업그레이드하려면 어떻게 해?","- 순차(rolling) 재기동 전 replica부터 업그레이드 후 정상 동작 확인, 마지막에 primary 전환
- 업그레이드 전 반드시 스냅샷/백업 확보, Helm chart 버전 핀 고정 확인
- 포인트: primary부터 먼저 올리면 장애 시 롤백이 더 어려워짐","DBA+DEVOPS"
"Jenkins 파이프라인에서 DB 마이그레이션 스크립트 실행 후 롤백이 필요한 경우 어떻게 자동화해?","- Flyway/Liquibase의 undo 스크립트를 마이그레이션과 쌍으로 관리
- 파이프라인에 마이그레이션 실패 시 자동으로 undo 스텝을 호출하는 에러 핸들링 추가
- 포인트: undo 스크립트 없는 마이그레이션(컬럼 삭제 등)은 사전에 별도 백업 스텝 필수","DBA+DEVOPS"
"MySQL Pod를 Deployment로 운영 중인데 이게 왜 문제가 될 수 있어? StatefulSet이랑 뭐가 달라?","- Deployment는 Pod 재생성 시 새 이름/스토리지로 뜰 수 있어 데이터 영속성 보장이 약함
- StatefulSet은 고정된 이름+PVC를 유지해서 재시작해도 같은 데이터 볼륨에 다시 붙음
- 포인트: 상태 있는(stateful) DB는 반드시 StatefulSet + PVC 조합으로 운영해야 함","DBA+DEVOPS"
"GitLab CI 러너가 도는 노드에서 직접 mysqldump를 실행해서 백업하는데 백업 파일이 자꾸 손상돼. 원인 뭐부터 봐?","확인 순서:
1. 러너 컨테이너의 디스크(임시 볼륨) 용량 부족으로 덤프가 중간에 잘렸는지 확인
2. 백업 스텝 timeout 설정이 실제 덤프 시간보다 짧게 잡혀있는지 확인
3. 네트워크로 원격 DB에 덤프뜨는 구조면 연결 끊김 여부 확인
- 포인트: CI 러너의 임시 디스크는 보통 작아서 대용량 덤프에는 부적합할 수 있음","DBA+DEVOPS"
"Helm으로 배포한 Oracle 컨테이너가 재기동할 때마다 임시테이블스페이스를 처음부터 다시 만들어. 왜 그래?","- PVC가 아니라 emptyDir 등 휘발성 볼륨에 데이터파일이 저장돼서 Pod 재생성 시 초기화되는 게 원인일 가능성 높음
- values.yaml에서 persistence.enabled 여부와 실제 PVC 마운트 경로 확인 필요
- 포인트: DB 데이터 디렉토리가 영속 볼륨이 아니면 재시작마다 초기화되는 게 정상 동작임","DBA+DEVOPS"
"Prometheus mysqld_exporter가 붙어있는데 특정 메트릭(슬로우쿼리 카운트)이 항상 0으로만 나와. 확인 순서는?","확인 순서:
1. MySQL의 slow_query_log가 실제로 켜져 있는지 확인
2. exporter 실행 계정에 PROCESS/REPLICATION CLIENT 등 필요 권한이 있는지 확인
3. exporter 자체 로그에서 쿼리 실패 에러가 있는지 확인
- 포인트: exporter는 떠 있어도 권한 부족으로 조용히 일부 메트릭만 못 가져오는 경우가 흔함","DBA+DEVOPS"
"K8s CronJob으로 매일 새벽 DB 백업을 도는데 가끔 이전 Job이 안 끝난 채로 다음 Job이 겹쳐서 떠. 어떻게 막아?","- CronJob의 concurrencyPolicy를 Forbid로 설정하면 이전 Job이 끝나기 전엔 새 Job이 안 뜸
- startingDeadlineSeconds도 같이 확인해서 지연된 스케줄이 중복 실행 안 되게 조정
- 포인트: 기본값(Allow)이면 겹쳐 뜨는 게 정상 동작이라 명시적으로 바꿔야 함","DBA+DEVOPS"
"OpenShift에서 PostgreSQL 컨테이너의 fsGroup 설정 때문에 데이터 디렉토리 권한 에러가 나. 어떻게 해결해?","- SCC(Security Context Constraints)가 임의 UID로 컨테이너를 띄우기 때문에 PostgreSQL 데이터 디렉토리 소유권과 안 맞을 수 있음
- securityContext.fsGroup을 PostgreSQL 이미지가 기대하는 그룹 ID로 명시 지정
- 포인트: 공식 이미지가 아니라 커스텀 이미지일수록 이 문제가 자주 발생함","DBA+DEVOPS"
"Terraform 없이 그냥 Helm으로 배포한 DB 클러스터인데, 배포 이력 관리가 안 돼서 누가 언제 뭘 바꿨는지 추적이 안 돼. 어떻게 개선해?","- helm history로 릴리스별 변경 이력은 확인 가능하지만, values.yaml 자체는 git으로 버전 관리해야 함
- GitOps 방식(예: values.yaml을 레포에 커밋 후 파이프라인으로만 배포)으로 전환하면 변경 이력 추적이 명확해짐
- 포인트: helm 자체 히스토리만으로는 '왜' 바꿨는지까지는 알 수 없어 커밋 메시지로 보완 필요","DBA+DEVOPS"
"DB 커넥션풀 설정을 바꾸는 배포를 했는데 반영이 안 된 것 같아. ConfigMap 방식으로 관리 중이야.","확인 순서:
1. ConfigMap 변경 후 관련 Pod가 재시작됐는지 확인(ConfigMap 자동 반영은 볼륨 마운트 방식에서만, 그것도 앱이 재읽기 하는 경우에 한함)
2. 애플리케이션이 기동 시점에만 설정을 읽는 구조라면 rollout restart 필요
- 포인트: ConfigMap 갱신 = Pod 내부 파일 갱신일 뿐, 애플리케이션이 재로딩하지 않으면 무의미","DBA+DEVOPS"
